Shot Type,CLAXTON,JOHNSON,SHARPE,FINNEY-SMITH,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,3,0,0,0,0,3,0,0,0,0,0,0
shoot2FGM,1,0,0,0,0,1,0,0,0,0,0,0
shoot2FTA,2,0,0,0,0,4,0,0,0,0,0,0
shoot2FTM,2,0,0,0,0,4,0,0,0,0,0,0
shoot2TO,0,1,0,0,0,0,0,1,0,0,0,0
shoot3FGA,1,0,1,0,0,1,1,0,0,0,0,0
shoot3FGM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,1,0,0,0,0,1,3,0,0,0,0,0
pass2FGM,1,0,0,0,0,0,2,0,0,0,0,0
pass2FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass2TO,1,0,0,0,0,0,0,0,0,0,0,0
pass3FGA,5,0,0,0,0,3,3,1,0,0,0,0
pass3FGM,1,0,0,0,0,1,0,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,0,0,0,0,0